id,word,n,tf,idf,tf_idf
322,comes,1,0.16666666666666666,3.1498829533812494,0.5249804922302082
34,getting,1,0.14285714285714285,3.66070857714724,0.5229583681638914
101,joint,1,0.14285714285714285,3.66070857714724,0.5229583681638914
101,stiffness,1,0.14285714285714285,3.66070857714724,0.5229583681638914
117,wrong,1,0.14285714285714285,3.66070857714724,0.5229583681638914
180,joint,1,0.14285714285714285,3.66070857714724,0.5229583681638914
180,stiffness,1,0.14285714285714285,3.66070857714724,0.5229583681638914
185,knees,1,0.14285714285714285,3.66070857714724,0.5229583681638914
185,painful,1,0.14285714285714285,3.66070857714724,0.5229583681638914
204,migraine,1,0.14285714285714285,3.66070857714724,0.5229583681638914
224,dull,1,0.14285714285714285,3.66070857714724,0.5229583681638914
226,dull,1,0.14285714285714285,3.66070857714724,0.5229583681638914
272,migraine,1,0.14285714285714285,3.66070857714724,0.5229583681638914
297,wrong,1,0.14285714285714285,3.66070857714724,0.5229583681638914
314,getting,1,0.14285714285714285,3.66070857714724,0.5229583681638914
332,dull,1,0.14285714285714285,3.66070857714724,0.5229583681638914
68,becoming,1,0.16666666666666666,3.0853444322436783,0.514224072040613
74,becoming,1,0.16666666666666666,3.0853444322436783,0.514224072040613
338,becoming,1,0.16666666666666666,3.0853444322436783,0.514224072040613
346,becoming,1,0.16666666666666666,3.0853444322436783,0.514224072040613
28,send,1,0.125,4.0661736852554045,0.5082717106569256
88,fatigue,1,0.125,4.0661736852554045,0.5082717106569256
88,minor,1,0.125,4.0661736852554045,0.5082717106569256
88,setting,1,0.125,4.0661736852554045,0.5082717106569256
88,tasks,1,0.125,4.0661736852554045,0.5082717106569256
88,wiped,1,0.125,4.0661736852554045,0.5082717106569256
178,arriving,1,0.125,4.0661736852554045,0.5082717106569256
178,resending,1,0.125,4.0661736852554045,0.5082717106569256
178,twice,1,0.125,4.0661736852554045,0.5082717106569256
199,contacted,1,0.125,4.0661736852554045,0.5082717106569256
199,disappeared,1,0.125,4.0661736852554045,0.5082717106569256
202,send,1,0.125,4.0661736852554045,0.5082717106569256
215,contacted,1,0.125,4.0661736852554045,0.5082717106569256
247,ability,1,0.125,4.0661736852554045,0.5082717106569256
247,concentrate,1,0.125,4.0661736852554045,0.5082717106569256
264,contacted,1,0.125,4.0661736852554045,0.5082717106569256
288,ability,1,0.125,4.0661736852554045,0.5082717106569256
288,concentrate,1,0.125,4.0661736852554045,0.5082717106569256
305,ability,1,0.125,4.0661736852554045,0.5082717106569256
305,concentrate,1,0.125,4.0661736852554045,0.5082717106569256
327,contacted,1,0.125,4.0661736852554045,0.5082717106569256
24,sleep,1,0.14285714285714285,3.5553480614894135,0.507906865927059
143,recently,1,0.14285714285714285,3.5553480614894135,0.507906865927059
161,won,1,0.14285714285714285,3.5553480614894135,0.507906865927059
164,recently,1,0.14285714285714285,3.5553480614894135,0.507906865927059
175,recently,1,0.14285714285714285,3.5553480614894135,0.507906865927059
224,leg,1,0.14285714285714285,3.5553480614894135,0.507906865927059
224,weakness,1,0.14285714285714285,3.5553480614894135,0.507906865927059
248,recently,1,0.14285714285714285,3.5553480614894135,0.507906865927059
266,leg,1,0.14285714285714285,3.5553480614894135,0.507906865927059
266,weakness,1,0.14285714285714285,3.5553480614894135,0.507906865927059
277,leg,1,0.14285714285714285,3.5553480614894135,0.507906865927059
277,weakness,1,0.14285714285714285,3.5553480614894135,0.507906865927059
349,recently,1,0.14285714285714285,3.5553480614894135,0.507906865927059
119,started,1,0.2,2.5257286443082556,0.5051457288616511
155,started,1,0.2,2.5257286443082556,0.5051457288616511
280,pain,1,0.2,2.5257286443082556,0.5051457288616511
52,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
94,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
205,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
263,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
270,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
281,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
281,sharp,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
308,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
322,going,1,0.16666666666666666,3.0247198104272432,0.5041199684045405
240,causing,1,0.2,2.4906373244969853,0.4981274648993971
130,reset,2,0.1111111111111111,4.471638793363569,0.4968487548181743
306,reset,2,0.1111111111111111,4.471638793363569,0.4968487548181743
67,pharmacy,1,0.1111111111111111,4.471638793363569,0.4968487548181743
67,said,1,0.1111111111111111,4.471638793363569,0.4968487548181743
67,yet,1,0.1111111111111111,4.471638793363569,0.4968487548181743
81,morning,1,0.1111111111111111,4.471638793363569,0.4968487548181743
81,radiating,1,0.1111111111111111,4.471638793363569,0.4968487548181743
91,pharmacy,1,0.1111111111111111,4.471638793363569,0.4968487548181743
91,said,1,0.1111111111111111,4.471638793363569,0.4968487548181743
91,yet,1,0.1111111111111111,4.471638793363569,0.4968487548181743
152,response,1,0.1111111111111111,4.471638793363569,0.4968487548181743
231,date,1,0.1111111111111111,4.471638793363569,0.4968487548181743
231,fix,1,0.1111111111111111,4.471638793363569,0.4968487548181743
231,linked,1,0.1111111111111111,4.471638793363569,0.4968487548181743
231,years,1,0.1111111111111111,4.471638793363569,0.4968487548181743
269,date,1,0.1111111111111111,4.471638793363569,0.4968487548181743
269,fix,1,0.1111111111111111,4.471638793363569,0.4968487548181743
269,linked,1,0.1111111111111111,4.471638793363569,0.4968487548181743
269,years,1,0.1111111111111111,4.471638793363569,0.4968487548181743
304,check,1,0.1111111111111111,4.471638793363569,0.4968487548181743
304,settings,1,0.1111111111111111,4.471638793363569,0.4968487548181743
328,date,1,0.1111111111111111,4.471638793363569,0.4968487548181743
328,fix,1,0.1111111111111111,4.471638793363569,0.4968487548181743
328,linked,1,0.1111111111111111,4.471638793363569,0.4968487548181743
328,years,1,0.1111111111111111,4.471638793363569,0.4968487548181743
68,frustrating,1,0.16666666666666666,2.9675613965872945,0.4945935660978824
74,frustrating,1,0.16666666666666666,2.9675613965872945,0.4945935660978824
338,frustrating,1,0.16666666666666666,2.9675613965872945,0.4945935660978824
346,frustrating,1,0.16666666666666666,2.9675613965872945,0.4945935660978824
16,order,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
34,error,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
34,keep,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
34,message,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
162,order,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
173,contact,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
210,showing,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
257,contact,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
314,error,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
314,keep,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
314,message,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
332,insomnia,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
334,contact,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
349,insomnia,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
350,insomnia,1,0.14285714285714285,3.4600378816850887,0.4942911259550127
215,crashing,1,0.125,3.912023005428146,0.48900287567851825
264,logs,1,0.125,3.912023005428146,0.48900287567851825
264,randomly,1,0.125,3.912023005428146,0.48900287567851825
176,prescription,1,0.16666666666666666,2.913494175317019,0.4855823625528365
346,prescription,1,0.16666666666666666,2.913494175317019,0.4855823625528365
16,different,1,0.14285714285714285,3.373026504695459,0.4818609292422084
19,multiple,1,0.14285714285714285,3.373026504695459,0.4818609292422084
51,constant,1,0.14285714285714285,3.373026504695459,0.4818609292422084
70,different,1,0.14285714285714285,3.373026504695459,0.4818609292422084
125,constant,1,0.14285714285714285,3.373026504695459,0.4818609292422084
185,sometimes,1,0.14285714285714285,3.373026504695459,0.4818609292422084
189,different,1,0.14285714285714285,3.373026504695459,0.4818609292422084
204,gets,1,0.14285714285714285,3.373026504695459,0.4818609292422084
297,multiple,1,0.14285714285714285,3.373026504695459,0.4818609292422084
